"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
21	178. ΔΧΣ=>ΠΤΕ	Έκδοση Πιστωτικού από Δ.Ποσοτικής Παραλαβής από πελάτη (αν έχει προηγηθεί τιμολόγιο)	ΔΧΣ	ΠΤΕ		0
26	187. ΕΑΠ=>ΤΔΑ (από ΠΑΡ)	Τιμολόγηση-Αποστολή παραγγελιών πελατών	ΕΑΠ	ΤΔΑ	CUSTOMER-ORDER	0
0	100. Πιστωτικός Έλεγχος	Πιστωτικός έλεγχος παραγγελίας	ΠΑΡ			0
0	101. Υπέρβαση Πιστωτικού Ελέγχου	Υπέρβαση Πιστωτικού Ελέγχου	ΠΑΡ			0
0	160. Επαναδρομολόγηση παραγγελίας	160. Επαναδρομολόγηση παραγγελίας	ΠΑΡ			0
0	418. Έγκριση ΠΠΡ	Έγκριση παραγγελίας αγοράς	ΠΠΡ			0
1	151. ΠΑΡ=>ΠΔΣ	Από Παραγγελία Πελάτη σε Δέσμευση Αποθέματος	ΠΑΡ	ΠΔΣ	CUSTOMER-ORDER-TO-CONF-OR-RESV	0
2	151. ΠΔΣ=>ΕΑΠ	Από Δέσμευση σε Εντολή αποστολής αποθήκης	ΠΔΣ	ΕΑΠ	CUSTOMER-ORDER-TO-CONF-OR-RESV	0
4	157.ΕΑΠ=>ΕΑΚ	Ακύρωση Εντολής Αποστολής Αποθήκης	ΕΑΠ	ΕΑΚ		0
4	157α.ΠΑΡ=>Μερική ακύρωση	Μερική Ακύρωση Παραγγελίας	ΠΑΡ	ΠΑΑ	CUSTOMER-ORDER-LS	0
4	157β.ΠΑΡ=>Ολική ακύρωση	Ολική Ακύρωση Παραγγελίας	ΠΑΡ	ΠΑΑ	CUSTOMER-ORDER-LS	0
8	471. ΠΡΦ=>ΠΑΡ	Παραγγελία πώλησης από Προσφορά	ΠΡΦ	ΠΑΡ		0
1	102. ΑΔΠ=>ΑΤΠ	Τιμολόγηση Δελτίων Παραλαβής Αγορών	ΑΔΠ	ΑΤΠ	GOODS-ACCEPT	0
2	123. ΑΔΠ=>ΔΕΑ	Δελτίο Επιστροφής από Παραλαβή Αγορών	ΑΔΠ	ΔΕΑ		0
3	125. ΑΧΔ=>ΔΧΑ	Επιστροφή από Δελτίο Παραλαβής (χωρίς αξία)	ΑΧΔ	ΔΧΑ		0
4	109. ΑΤΔ=>ΠΕΚ	Πιστωτικό Εκπτωσης για Τιμολόγιο Αγορών-ΔΠ (με 0 αξία)	ΑΤΔ	ΠΕΚ		0
6	106. ΔΕΑ=>ΠΑΓ	Πιστωτικό για Δ.Επιστροφής Αγορών	ΔΕΑ	ΠΑΓ	PURCHASE-RETURN	0
7	100. ΤΓΥ=>ΑΤΔ	Δημιουργία τιμολογίων ανά υποκατάστημα προορισμού	ΤΓΥ	ΑΤΔ		0
7	104. ΤΕΔ=>ΤΕΠ	Πιστωτικό για Τιμολόγιο Εξόδων	ΤΕΔ	ΤΕΠ		0
8	144. ΔΧΑ=>ΑΧΔ	Παραλαβή από Δ.Αποστολής (χωρίς αξία)	ΔΧΑ	ΑΧΔ		0
10	146. ΤΕΔ=>ΠΛΠ	Πιστωτικό (αντιλογισμός) για Τιμολόγιο Εξόδων	ΤΕΔ	ΠΛΠ		0
11	124. ΔΕΑ=>ΑΔΠ	Δ.Παραλαβής από Δ.Επιστροφής Προμηθευτή	ΔΕΑ	ΑΔΠ		0
1	107. ΑΔΠ=>ΑΤΞ	Τιμολόγηση Παραλαβών Εξωτερικού	ΑΔΠ	ΑΤΞ	GOODS-ACCEPT	0
1	107. ΕΝΦ=>ΑΤΞ	Τιμολόγηση Παραλαβών Εξωτερικού από Εντολή Φόρτωσης	ΕΝΦ	ΑΤΞ	GOODS-ACCEPT	0
2	110. ΑΤΞ=>ΑΔΠ	Δελτίο Παραλαβής από Τιμολόγιο Οίκου	ΑΤΞ	ΑΔΠ	GOODS-ACCEPT	0
3	421. ΑΤΞ=>ΔΚΚ	Κοστολόγηση Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης €)	ΑΤΞ	ΔΚΚ		0
3	480. ΑΤΞ=>ΚΦΕ	Κοστολόγηση Εισαγωγών από Τιμολόγιο	ΑΤΞ	ΚΦΕ		0
4	423. ΑΔΞ=>ΔΚΚ	Κοστολόγηση Τιμολογίου Εισαγωγών-Δ.Παραλαβής (ΕΝΤΟΣ ζώνης €)	ΑΔΞ	ΔΚΚ		0
4	481. ΑΔΞ=>ΚΦΕ	Κοστολόγηση Εισαγωγών από Τιμολόγιο-Δ.Παραλαβής	ΑΔΞ	ΚΦΕ		0
5	425. ΑΤΞ=>ΔΚΤ	Κοστολόγηση Εισαγωγών από ΤΡΙΤΕΣ Χώρες	ΑΤΞ	ΔΚΤ		0
5	482. ΑΤΞ=>ΚΦΠ	Προϋπ/κή Κοστολόγηση Εισαγωγών από Τιμολόγιο	ΑΤΞ	ΚΦΠ		0
6	443. ΑΔΞ=>ΔΚΤ	Κοστολόγηση Τιμολογίου Εισαγωγών-Δ.Παραλαβής από ΤΡΙΤΕΣ Χώρες	ΑΔΞ	ΔΚΤ		0
6	483. ΑΔΞ=>ΚΦΠ	Προϋπ/κή Κοστολόγηση Εισαγωγών από Τιμολόγιο-Δ.Παραλαβής	ΑΔΞ	ΚΦΠ		0
7	447. ΑΤΞ=>ΔΚΣ	Κοστολόγηση Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης €)	ΑΤΞ	ΔΚΣ		0
7	484. ΚΦΕ=>ΚΦΑ	Ακύρωση οριστικού κλεισίματος Φακέλου	ΚΦΕ	ΚΦΑ		0
8	448. ΑΔΞ=>ΔΚΣ	Κοστολόγηση Τιμολογίου-Δ.Παραλαβής (ΕΚΤΟΣ ζώνης €)	ΑΔΞ	ΔΚΣ		0
8	485. ΚΦΠ=>ΚΦΚ	Ακύρωση προσωρινού κλεισίματος Φακέλου	ΚΦΠ	ΚΦΚ		0
9	444. ΑΤΞ=>ΔΚΝ	Κοστολόγηση Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης € - ΑΝΑΛΥΤΙΚΑ)	ΑΤΞ	ΔΚΝ		0
9	486. ΑΤΠ=>ΚΦΣ	Κοστολόγηση Αγορών από Τιμολόγιο Προμηθευτή Εσωτερικού	ΑΤΠ	ΚΦΣ		0
10	445. ΑΔΞ=>ΔΚΝ	Κοστολόγηση Τιμολογίου-Δ.Παραλαβής (ΕΝΤΟΣ ζώνης € - ΑΝΑΛΥΤΙΚΑ)	ΑΔΞ	ΔΚΝ		0
10	487. ΑΤΔ=>ΚΦΣ	Κοστολόγηση Αγορών από Τιμολόγιο-Δ.Παραλαβής Προμηθευτή Εσωτερικού	ΑΤΔ	ΚΦΣ		0
11	454. ΑΤΞ=>ΔΚΔ	Κοστολόγηση Εισαγωγών από ΤΡΙΤΕΣ χώρες (ΑΝΑΛΥΤΙΚΑ)	ΑΤΞ	ΔΚΔ		0
11	488. ΚΦΣ=>ΚΦΡ	Ακύρωση κλεισίματος Φακέλου Κοστολόγησης Αγορών	ΚΦΣ	ΚΦΡ		0
12	110. ΑΤΞ=>ΠΕΞ	Πιστωτικό για Τιμολόγιο Οίκου Εξωτερικού	ΑΤΞ	ΠΕΞ		0
12	455. ΑΔΞ=>ΔΚΔ	Κοστολόγηση Τιμολογίου-Δ.Παραλαβής (από ΤΡΙΤΕΣ χώρες-ΑΝΑΛΥΤΙΚΑ)	ΑΔΞ	ΔΚΔ		0
13	450. ΑΤΞ=>ΔΚΛ	Κοστολόγηση Τιμολογίου Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης € - ΑΝΑΛΥΤΙΚΑ)	ΑΤΞ	ΔΚΛ		0
14	451. ΑΔΞ=>ΔΚΛ	Κοστολόγηση Τιμολογίου-Δ.Παραλαβής (ΕΚΤΟΣ ζώνης € - ΑΝΑΛΥΤΙΚΑ)	ΑΔΞ	ΔΚΛ		0
15	422. ΑΤΞ=>ΠΚΚ	Προϋπ/κή Κοστολόγηση Τιμολογίων Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης €)	ΑΤΞ	ΠΚΚ		0
16	424. ΑΔΞ=>ΠΚΚ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης €)	ΑΔΞ	ΠΚΚ		0
17	459. ΑΤΞ=>ΠΚΤ	Προϋπ/κή Κοστολόγηση Τιμολογίων Εισαγωγών (από ΤΡΙΤΕΣ Χώρες)	ΑΤΞ	ΠΚΤ		0
18	460. ΑΔΞ=>ΠΚΤ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Εισαγωγών (από ΤΡΙΤΕΣ Χώρες)	ΑΔΞ	ΠΚΤ		0
19	457. ΑΤΞ=>ΠΚΣ	Προϋπ/κή Κοστολόγηση Τιμολογίων Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης €)	ΑΤΞ	ΠΚΣ		0
20	458. ΑΔΞ=>ΠΚΣ	Προϋπ/κή Κοστολόγηση Τιμολογίων-Δ.Π. Ενδοκοινοτικών Αγορών (ΕΚΤΟΣ ζώνης €)	ΑΔΞ	ΠΚΣ		0
21	462. ΑΤΞ=>ΠΚΝ	Προϋπ/κή Κοστολόγηση Τιμολογίων Ενδοκοινοτικών Αγορών (ΕΝΤΟΣ ζώνης € - Αναλυτικά)	ΑΤΞ	ΠΚΝ		0
