"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
1	304. ΠΣΥ=>ΔΑΝ	Δελτίο Ενδοδιακίνησης από Πρόβλεψη επιστροφής	ΠΣΥ	ΔΑΝ	INTERSTOCK-SOURCE	0
1	304. ΠΣΥ=>ΔΕΝ	Δελτίο Ενδοδιακίνησης από Πρόβλεψη επιστροφής	ΠΣΥ	ΔΕΝ		0
1	431. ΠΔΝ=>ΔΣΓ	Δελτίο Ενδοδιακίνησης από Δέσμευση	ΠΔΝ	ΔΣΓ		0
1	443. ΠΕΝ=>ΔΝΓ	Δελτίο Ενδοδιακίνησης από Παραγγελία	ΠΕΝ	ΔΝΓ		0
1	445. ΠΣΥ=>ΔΝΓ	Δελτίο Ενδοδιακίνησης από Πρόβλεψη επιστροφής	ΠΣΥ	ΔΝΓ		0
2	435. ΔΦΤ=>ΔΦΤ	Παραλαβή από Διακίνηση Φόρτωσης καθ'οδόν	ΔΦΤ	ΔΦΤ		0
2	436. ΔΕΝ=>ΔΕΝ	Παραλαβή από Ενδοδιακίνηση	ΔΕΝ	ΔΕΝ		0
3	301. ΠΔΝ=>ΕΑΠ	Εντολή αποστολής σε υποκατάστημα από Δέσμευση για ενδοδιακίνηση	ΠΔΝ	ΕΑΠ		0
3	301. ΠΕΝ=>ΕΑΠ	Εντολή αποστολής σε υποκατάστημα από  Παραγγελία ενδοδιακίνησης	ΠΕΝ	ΕΑΠ		0
3	437. ΑΧΤ=>ΠΧΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Δ.Αποστολής (ποσοτικό)	ΑΧΤ	ΠΧΤ		0
4	438. ΠΧΤ=>ΑΧΤ	Αποστολή από Αποθήκη Τρίτων βάσει Δ.Παραλαβής (ποσοτικό)	ΠΧΤ	ΑΧΤ		0
4	439. ΕΑΤ=>ΑΓΤ	Αποστολή σε Αποθήκη Τρίτων βάσει Παραγγελίας	ΕΑΤ	ΑΓΤ	INTERSTOCK-TARGET	0
4	439. ΕΑΤ=>ΑΧΤ	Αποστολή σε Αποθήκη Τρίτων βάσει Παραγγελίας	ΕΑΤ	ΑΧΤ	INTERSTOCK-TARGET	0
4	439. ΕΠΤ=>ΠΞΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Παραγγελίας	ΕΠΤ	ΠΞΤ	INTERSTOCK-TARGET	0
4	439. ΕΠΤ=>ΠΧΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Παραγγελίας	ΕΠΤ	ΠΧΤ	INTERSTOCK-TARGET	0
6	160. ΑΥΔ=>ΑΥΤ	Κοστολογικό στοιχείο για Δ.Αποστολής Αυτοπαράδοσης	ΑΥΔ	ΑΥΤ		0
6	439. ΕΑΤ=>ΕΑΠ	Εντολή αποστολής σε ΑΧ Τρίτων από  Παραγγελία ενδοδιακίνησης	ΕΑΤ	ΕΑΠ		0
7	470. ΔΑΝ=>ΔΠΝ	Παραλαβή από Δ.Αποστολής Ενδοδιακίνησης	ΔΑΝ	ΔΠΝ		0
7	471. ΔΑΝ=>ΔΠΝ (από ΠΣΥ)	Παραλαβή από Δ.Αποστολής Ενδοδιακίνησης	ΔΑΝ	ΔΠΝ	INTERSTOCK-TARGET	0
8	415. ΑΓΤ=>ΠΞΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Δ.Αποστολής (κόστος εξαγωγών)	ΑΓΤ	ΠΞΤ		0
8	417. ΑΣΤ=>ΠΡΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Δ.Αποστολής (εξαγωγή - εισαγωγή)	ΑΣΤ	ΠΡΤ		0
9	413. ΠΞΤ=>ΑΓΤ	Αποστολή από Αποθήκη Τρίτων βάσει Δ.Παραλαβής (κόστος εξαγωγών)	ΠΞΤ	ΑΓΤ		0
10	161. ΑΥΤ=>ΑΠΕ	Δ.Παραλαβής από Ειδικό Στοιχείο Αυτοπαράδοσης	ΑΥΤ	ΑΠΕ		0
10	179. ΑΥΔ=>ΕΥΔ	Δ.Παραλαβής από Δ.Αποστολής Αυτοπαράδοσης	ΑΥΔ	ΕΥΔ		0
10	416. ΑΕΤ=>ΠΕΤ	Παραλαβή από Αποθήκη Τρίτων βάσει Δ.Αποστολής (κόστος εισαγωγών)	ΑΕΤ	ΠΕΤ		0
11	414. ΠΕΤ=>ΑΕΤ	Αποστολή από Αποθήκη Τρίτων βάσει Δ.Παραλαβής (κόστος εισαγωγών)	ΠΕΤ	ΑΕΤ		0
13	439. ΔΣΘ=>ΔΣΚ	Ακύρωση Συναρμολόγησης	ΔΣΘ	ΔΣΚ		0
15	432. ΠΔΝ=>ΚΔΕ	Κατάργηση δέσμευσης για ενδοδιακίνηση	ΠΔΝ	ΚΔΕ		0
16	432. ΠΔΠ=>ΚΔΕ	Κατάργηση δέσμευσης για ενδοδιακίνηση	ΠΔΠ	ΚΔΕ		0
17	432. ΔΚΦ=>ΚΔΑ	Κατάργηση δέσμευσης κατεστραμμένων	ΔΚΦ	ΚΔΑ	STOCK-DAMAGE	0
18	432. ΔΠΓ=>ΚΔΑ	Κατάργηση δέσμευσης παγωμένου στοκ για έλεγχο	ΔΠΓ	ΚΔΑ	STOCK-FROZEN	0
19	432. ΔΜΑ=>ΚΔΑ	Κατάργηση δέσμευσης μελλοντικού στοκ	ΔΜΑ	ΚΔΑ	STOCK-FUTURE	0
20	432. ΔΠΕ=>ΚΔΑ (ΕΝΤ)	Κατάργηση δέσμευσης αναμενόμενου στοκ	ΔΠΕ	ΚΔΑ	STOCK-FUTURE	0
20	433. ΔΚΦ=>ΠΚΘ	Απόσυρση δεσμευμένου/κατεστραμμένου στοκ	ΔΚΦ	ΠΚΘ	STOCK-DAMAGE	0
21	433. ΔΠΓ=>ΠΚΘ	Απόσυρση δεσμευμένου/παγωμένου στοκ	ΔΠΓ	ΠΚΘ	STOCK-FROZEN	0
1	401. ΔΠΚ=>ΑΠΚ	Αντιλογισμός προϋπ/νου κόστους κτήσης προηγούμενης περιόδου	ΔΠΚ	ΑΠΚ		0
2	402. ΔΠΧ=>ΔΑΧ	Αντιλογισμός προϋπ/νων πωλήσεων προηγούμενης περιόδου	ΔΠΧ	ΔΑΧ		0
3	201. ΕΠΛ=>ΑΠΜ	Απόδειξη πληρωμής από Ενταλμα	ΕΠΛ	ΑΠΜ		0
4	203. ΑΠΜ=>ΠΑΕ	Απόδειξη είσπραξης από Απόδειξη πληρωμής	ΑΠΜ	ΠΑΕ		0
2	191. ΑΤΕ=>ΠΠΡ	Μετατροπή σε παραγγελίες προμηθευτών	ΑΤΕ	ΠΠΡ		0
5	185. ΑΙΤ -> Εγκρίνεται (ΟΚ)	Εγκριση αιτήματος Δαπάνης (αλλαγή βήματος)	ΑΙΤ			0
8	172. ΑΙΤ=>ΤΕΔ	Πραγματοποίηση αιτήματος Δαπάνης	ΑΙΤ	ΤΕΔ		0
9	194. ΕΞΔ=>ΤΕΔ	Μετατροπή σε τιμολόγιο υλοποιημένου εξόδου	ΕΞΔ	ΤΕΔ		0
10	195. ΕΞΔ=>ΑΓΠ	Μετατροπή σε απόδειξη υλοποιημένου εξόδου	ΕΞΔ	ΑΓΠ		0
